r,method,grid_points,n_converged,share_converged
Argentina,NM,14161,14161,1
Australia and New Zealand,NM,14161,14161,1
Brazil,NM,14161,14161,1
Canada,NM,14161,14161,1
Caribbean Extended,NM,14161,14161,1
Central America,NM,14161,14161,1
Central Asia Extended,NM,14161,14161,1
Chile,NM,14161,14161,1
China,NM,14161,14160,0.9999293835181131
EU27,NM,14161,14161,1
Eastern Africa,NM,14161,14161,1
India,NM,14161,14161,1
Japan,NM,14161,14161,1
Levant,NM,14161,14161,1
Mexico,NM,14161,14161,1
Middle Africa,NM,14161,14160,0.9999293835181131
Non-EU Europe,NM,14161,14161,1
Northern Africa,NM,14161,14161,1
Peninsular West Asia,NM,14161,14161,1
Republic of Korea,NM,14161,14161,1
Russia,NM,14161,14161,1
South Africa,NM,14161,14161,1
South America Cluster,NM,14161,14161,1
South-eastern Asia,NM,14161,14161,1
Southern Africa Cluster,NM,14161,14161,1
Southern Asia Cluster,NM,14161,14161,1
Switzerland,NM,14161,14161,1
Tropical Pacific Islands,NM,14161,14161,1
United Kingdom,NM,14161,14161,1
United States,NM,14161,14161,1
Western Africa,NM,14161,14161,1
