r,d_KL,d_VAE,sigma_KL,sigma_VAE,nu,gamma,lambda,R2,method,time
Argentina,1,0.27241060172339016,NA,1,0.644752187560585,3.614907355079663e-6,0.006228796415098676,0.9894135953633354,LM,3.639530897140503
Australia and New Zealand,0.16481732314859443,0.7189123199975485,NA,0.5,0.652317636733434,1.5802163235787856e-14,0.015797683791629602,0.9987029686733729,LM,4.903099060058594
Brazil,0.3181537716678963,0.9984386862104403,NA,0.5,1.1619835849486257,8.071371039180827e-5,0.00468404958925723,0.993596359914085,LM,7.4412150382995605
Canada,1,0.07487133889089304,NA,0.5,0.44016674697539127,2.7934537479478466e-13,0.014372543233357417,0.9939867764662097,LM,1.0758049488067627
Caribbean Extended,0.07207648425132365,0.6886498878560473,NA,NA,1.5504719615589218,1.1295270409963545e-10,0.011383708381777737,0.9967086000702213,LM,3.4880101680755615
Central America,0.3985167634814808,0.8676320932382289,NA,0.5,0.7380331932937991,3.988276217373359e-14,0.015336176095936477,0.9991649848203292,LM,8.460785150527954
Central Asia Extended,1,0.9036306207974231,NA,0.5,0.039735677151247664,9.641688888322274e-22,0.02409038937782053,0.998325326132496,LM,4.042679071426392
Chile,0.3519696824394355,1,NA,NA,0.5976863884781092,1.6157084470620783e-13,0.014642707568086652,0.9967830130010603,LM,3.301086902618408
China,0,0,NA,0.5,0.723275373758188,4.46286052422195e-22,0.02440039419767998,0.9959162195040523,LM,7.154962062835693
Eastern Africa,0.21897549512401496,0.9109786061512006,NA,0.5,1.4910671129893311,1.5495228012686165e-5,0.005505909877360289,0.9914402521454017,LM,1.539397954940796
EU27,0.30160931731916424,1,NA,NA,0.7341777567652905,3.334977543212186e-17,0.01885236989203386,0.9984145122153057,LM,9.514894962310791
India,0.22066693289887765,0.6924082764792882,NA,NA,1.29235649646928,4.014522683796927e-18,0.01989847889311116,0.9979701409476435,LM,4.5056540966033936
Japan,0,0,NA,NA,0.488944169554904,1.2685031229555283e-12,0.013622711659842433,0.9753870825124656,LM,2.618690013885498
Levant,0.4571043001455706,0.6413193497692244,NA,0.5,0.697018284199858,3.3857297907407476e-17,0.018851561036820178,0.9983174228900035,LM,8.416706085205078
Mexico,1,1,NA,1,9.832170664987129e-6,1.1513603254490002e-14,0.015960393283595265,0.9776241751771304,LM,2.629848003387451
Middle Africa,1,0.002668784266473021,NA,NA,0.7292919953588212,1.0211017070516517e-8,0.009146623906503337,0.9790723910705199,LM,8.186537981033325
Non-EU Europe,1,0.06083166310498061,NA,1,0.7746896563942919,2.773198590656367e-14,0.015531697632809132,0.9899222400237577,LM,4.059809923171997
Northern Africa,1,0.46540104590425657,NA,0.5,0.12184752228806137,2.7247795019029816e-20,0.022402542070916628,0.9951921344878352,LM,4.1053478717803955
Peninsular West Asia,0.17211953230154592,1,NA,0.5,0.7953657539492154,1.7254968926674332e-10,0.011173053280556285,0.9939176038417182,LM,6.899902105331421
Republic of Korea,1,0.031975302992724906,NA,0.5,0.6090850494350145,2.6013656133060484e-20,0.022420360202259154,0.9957961709752303,LM,8.617143154144287
Russia,1,0.715837217208433,NA,0.5,0.1519908029537342,2.5158822985232917e-8,0.008708729342129412,0.9969238214792756,LM,2.3893399238586426
South Africa,0.7105127807389499,1,NA,NA,0.37080578456185526,2.4899047279460376e-10,0.010996468271623962,0.9970601449571166,LM,3.665036916732788
South America Cluster,1,0.6952747309861685,NA,NA,0.32471212036721925,5.152835975470096e-21,0.023219497581309208,0.9982694861800808,LM,4.913025140762329
South-eastern Asia,1,0.8025001503974706,NA,NA,0.5810489014117259,1.9781707743576435e-16,0.017971667067567455,0.9994181726403321,LM,8.123044967651367
Southern Africa Cluster,1,0.08727036041125916,NA,NA,0.7805498377329266,3.11997301223777e-13,0.014306760578346482,0.9821539012447791,LM,7.210934162139893
Southern Asia Cluster,0.11176627847208302,0.7792085309074489,NA,NA,1.127404941644892,6.888637790649155e-17,0.01849317039237885,0.9982557798319875,LM,4.621138095855713
Switzerland,1,0.8052625511795479,NA,0.5,0.2823538869179309,1.4401291946438096e-12,0.013556300880585355,0.9899428649186827,LM,1.4422028064727783
Tropical Pacific Islands,0.5710709323863349,0.04637026328788765,NA,0.5,1.0833903954621564,3.542205404107252e-16,0.01768418066434106,0.9818115037781096,LM,8.1663179397583
United Kingdom,0.24771237420299375,0.7541436202317182,NA,0.5,1.5893989819088619,1.3382211600248537e-5,0.005581272511431436,0.9723258965471948,LM,3.697934150695801
United States,0.2595353105995186,0.8197156419418914,NA,1,0.9868127765861592,9.112373901469568e-9,0.00920340619852236,0.9980041800604619,LM,2.8178210258483887
Western Africa,1,2.0727265396219797e-4,NA,0.5,0.6485086884467374,3.6831095292034953e-20,0.022249187800012813,0.9952083548226395,LM,5.068104982376099
